"Ad group","Channel","Publisher","Attribution tags","Click-through URL"
"michael-email-test-pro-t1a","Email","HUE Email","https://www.amazon.com/HUE-Flexible-Document-Camera-Visualiser/dp/B0D1VQKJYZ/?maas=maas_adg_4EBD9154E07A7ABECD4F86EC5A499F10_afap_abs&ref_=aa_maas&tag=maas","https://www.amazon.com/HUE-Flexible-Document-Camera-Visualiser/dp/B0D1VQKJYZ/"
"email-mini-campaign-t1b","Email","HUE Email","https://www.amazon.com/HUE-Flexible-Document-Camera-Visualiser/dp/B0D1VQKJYZ?maas=maas_adg_F2ADA940F723354FB4507D31CDD3731B_afap_abs&ref_=aa_maas&tag=maas","https://www.amazon.com/HUE-Flexible-Document-Camera-Visualiser/dp/B0D1VQKJYZ"
"email-mini-campaign-l1a","Email","HUE Email","https://www.amazon.com/dp/B0D1VQKJYZ?maas=maas_adg_7D402111CA995298FD10AC52628EFDFC_afap_abs&ref_=aa_maas&tag=maas","https://www.amazon.com/dp/B0D1VQKJYZ"
"email-mini-campaign-t1a","Email","HUE Email","https://www.amazon.com/HUE-Flexible-Document-Camera-Visualiser/dp/B0D1VQKJYZ?maas=maas_adg_E7818E203D85611169FCC75ED5FED437_afap_abs&ref_=aa_maas&tag=maas","https://www.amazon.com/HUE-Flexible-Document-Camera-Visualiser/dp/B0D1VQKJYZ"
"email-mini-campaign-t1bx2","Email","HUE Email","https://www.amazon.com/HUE-Flexible-Document-Camera-Visualiser/dp/B0D1VQKJYZ?maas=maas_adg_985D4D0F1A0E25B11DBA5F1AA06C28DE_afap_abs&ref_=aa_maas&tag=maas","https://www.amazon.com/HUE-Flexible-Document-Camera-Visualiser/dp/B0D1VQKJYZ"
"email-mini-campaign-l1b","Email","HUE Email","https://www.amazon.com/dp/B0D1VQKJYZ?maas=maas_adg_8B054FD216D1F59A8953624124F3600E_afap_abs&ref_=aa_maas&tag=maas","https://www.amazon.com/dp/B0D1VQKJYZ"
"email-mini-campaign-t1ax2","Email","HUE Email","https://www.amazon.com/HUE-Flexible-Document-Camera-Visualiser/dp/B0D1VQKJYZ?maas=maas_adg_708AEA13DD80350D423F70206A0588EA_afap_abs&ref_=aa_maas&tag=maas","https://www.amazon.com/HUE-Flexible-Document-Camera-Visualiser/dp/B0D1VQKJYZ"
"michael-email-test-pro-t1b","Email","HUE Email","https://www.amazon.com/HUE-Flexible-Document-Camera-Visualiser/dp/B0D1VQKJYZ/?maas=maas_adg_7D2CBC5EF3835396D60327457D57859C_afap_abs&ref_=aa_maas&tag=maas","https://www.amazon.com/HUE-Flexible-Document-Camera-Visualiser/dp/B0D1VQKJYZ/"
